epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8386299014091492,0.0010000000474974513,0.5113124847412109,0.8889427781105042,0.7997964024543762,0.14945651590824127,5.6905012130737305,0.15007013082504272,0.145380437374115
1,0.9477856159210205,0.0010000000474974513,0.16749323904514313,0.956290602684021,0.9418951272964478,0.125,3.5562665462493896,0.13641899824142456,0.11413043737411499
2,0.9660388231277466,0.0010000000474974513,0.11149246245622635,0.9709400534629822,0.9621845483779907,0.14775815606117249,4.293667793273926,0.15241636335849762,0.13926629722118378
3,0.970693051815033,0.0010000000474974513,0.10148284584283829,0.9743627309799194,0.9673478007316589,0.34986412525177,3.8806138038635254,0.3728356957435608,0.32914403080940247
4,0.9748381972312927,0.0010000000474974513,0.08903636038303375,0.9779078364372253,0.9721474647521973,0.06589674204587936,10.130547523498535,0.06550665199756622,0.06521739065647125
5,0.9928732514381409,0.0005000000237487257,0.022704292088747025,0.9933047294616699,0.992582380771637,0.16745923459529877,7.17039680480957,0.16724137961864471,0.16474184393882751
6,0.9970183968544006,0.0005000000237487257,0.00954210851341486,0.9972353577613831,0.9968002438545227,0.41202446818351746,4.502336025238037,0.41552990674972534,0.40353259444236755
7,0.9962184429168701,0.0005000000237487257,0.011052214540541172,0.9967253804206848,0.9960730075836182,0.26902174949645996,4.454684257507324,0.27485591173171997,0.25917118787765503
8,0.9985455870628357,0.0002500000118743628,0.004275077488273382,0.9985454678535461,0.9984728097915649,0.8074048757553101,0.9664866328239441,0.8125859498977661,0.8026494383811951
9,0.9984728097915649,0.0002500000118743628,0.003917342983186245,0.9986180663108826,0.9984728097915649,0.6875,1.4840558767318726,0.6954861283302307,0.6803668737411499
10,0.9981092214584351,0.0002500000118743628,0.005782581865787506,0.998108983039856,0.9979637861251831,0.8165760636329651,0.73585444688797,0.8375616669654846,0.8074048757553101
11,0.998181939125061,0.0002500000118743628,0.006849255878478289,0.9982544183731079,0.9981092214584351,0.4194972813129425,3.3026936054229736,0.4314079284667969,0.40591031312942505
12,0.9978183507919312,0.0002500000118743628,0.006709863431751728,0.9978181719779968,0.9977456331253052,0.3396739065647125,3.637188196182251,0.36204794049263,0.30264946818351746
13,0.9995636940002441,0.0002500000118743628,0.0011729231337085366,0.9996363520622253,0.9995636940002441,0.5006793737411499,2.5485150814056396,0.5158045887947083,0.48777174949645996
14,0.9993454813957214,0.0001250000059371814,0.0020959321409463882,0.9994181990623474,0.9993454813957214,0.19429348409175873,7.998877048492432,0.1966410130262375,0.19089673459529877
