epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.4145880341529846,0.0010000000474974513,1.5905742645263672,0.706524133682251,0.23074685037136078,0.62160325050354,1.0784436464309692,0.799878716468811,0.44802990555763245
1,0.6976220011711121,0.0010000000474974513,0.8671925663948059,0.8161277174949646,0.5910115838050842,0.79347825050354,0.5989643931388855,0.8607698678970337,0.713994562625885
2,0.8211766481399536,0.0010000000474974513,0.5329731702804565,0.8758381009101868,0.769471287727356,0.8790760636329651,0.36710068583488464,0.9225564002990723,0.8335598111152649
3,0.8821176886558533,0.0010000000474974513,0.35790613293647766,0.9126440286636353,0.8524470925331116,0.885869562625885,0.33569231629371643,0.9229922890663147,0.85495924949646
4,0.9163697361946106,0.0010000000474974513,0.251835435628891,0.9340327382087708,0.8999345302581787,0.9116848111152649,0.26849818229675293,0.9306930899620056,0.89402174949646
5,0.9329503178596497,0.0010000000474974513,0.2039577215909958,0.9445065259933472,0.9221147298812866,0.92357337474823,0.26514092087745667,0.9342105388641357,0.9164401888847351
6,0.9415315389633179,0.0010000000474974513,0.19118882715702057,0.9504531025886536,0.9304777979850769,0.93919837474823,0.2095266878604889,0.9513043761253357,0.9290081262588501
7,0.9522216320037842,0.0010000000474974513,0.1486271768808365,0.9601923823356628,0.9437131881713867,0.940557062625885,0.21139489114284515,0.9503472447395325,0.9296875
8,0.9545487761497498,0.0010000000474974513,0.14502905309200287,0.9613426923751831,0.9476401805877686,0.9035326242446899,0.35627302527427673,0.9144144058227539,0.8963994383811951
9,0.9621118307113647,0.0010000000474974513,0.1256895512342453,0.9670709371566772,0.9568031430244446,0.9038723111152649,0.33469805121421814,0.9202239513397217,0.8933423757553101
10,0.9624754786491394,0.0010000000474974513,0.1254357397556305,0.9684466123580933,0.9575303792953491,0.931046187877655,0.26082736253738403,0.945587694644928,0.9208559989929199
11,0.9656025171279907,0.0010000000474974513,0.11596870422363281,0.970771849155426,0.9613118767738342,0.9480298757553101,0.20318281650543213,0.9550137519836426,0.9446331262588501
12,0.9685841202735901,0.0010000000474974513,0.1068977639079094,0.9733734130859375,0.9650207161903381,0.950067937374115,0.201975017786026,0.9580467939376831,0.9463315010070801
13,0.9710566401481628,0.0010000000474974513,0.10086678713560104,0.9748865365982056,0.9682931900024414,0.9463315010070801,0.21780285239219666,0.9518734812736511,0.940557062625885
14,0.9718565940856934,0.0010000000474974513,0.09909578412771225,0.9751079678535461,0.9685841202735901,0.9296875,0.25718745589256287,0.9363166689872742,0.9239130616188049
15,0.9692385792732239,0.0010000000474974513,0.10837827622890472,0.9717146754264832,0.9668387770652771,0.9555026888847351,0.17444755136966705,0.9605624079704285,0.95142662525177
16,0.9746927618980408,0.0010000000474974513,0.08979981392621994,0.9776135683059692,0.9717838764190674,0.9480298757553101,0.23163385689258575,0.9530017375946045,0.94361412525177
17,0.9770198464393616,0.0010000000474974513,0.08944423496723175,0.9791758060455322,0.9745473265647888,0.95142662525177,0.1896635740995407,0.9595575332641602,0.9429348111152649
18,0.9732382893562317,0.0010000000474974513,0.09887612611055374,0.976517915725708,0.9707657694816589,0.9453125,0.20464853942394257,0.9518238306045532,0.9395380616188049
19,0.9756381511688232,0.0010000000474974513,0.08869737386703491,0.9778686761856079,0.9736019372940063,0.96263587474823,0.17169073224067688,0.9664728045463562,0.959578812122345
20,0.9784015417098999,0.0010000000474974513,0.0813770517706871,0.9801416397094727,0.976292610168457,0.9572010636329651,0.2095745950937271,0.9612748622894287,0.952785313129425
21,0.9793469309806824,0.0010000000474974513,0.08051878213882446,0.9812477231025696,0.977965235710144,0.953464686870575,0.19995108246803284,0.9592046737670898,0.9504076242446899
22,0.9736019372940063,0.0010000000474974513,0.1009407714009285,0.9761852622032166,0.9717838764190674,0.940557062625885,0.2559400498867035,0.9531737565994263,0.9334239363670349
23,0.9805105328559875,0.0010000000474974513,0.07316365092992783,0.9819096922874451,0.9789106249809265,0.96433424949646,0.16047993302345276,0.9694263339042664,0.9585598111152649
24,0.9769471287727356,0.0010000000474974513,0.08956234902143478,0.9791042804718018,0.9745473265647888,0.9599184989929199,0.1972407102584839,0.9643102288246155,0.954483687877655
25,0.978183388710022,0.0010000000474974513,0.09097249060869217,0.9797109961509705,0.976219892501831,0.9572010636329651,0.2056334763765335,0.9609588980674744,0.953125
26,0.9835648536682129,0.0010000000474974513,0.06629558652639389,0.9849059581756592,0.9822558164596558,0.9504076242446899,0.2783760130405426,0.9548717737197876,0.94870924949646
27,0.9761471748352051,0.0010000000474974513,0.09772506356239319,0.9784561395645142,0.9743291139602661,0.9568614363670349,0.17521196603775024,0.9632554650306702,0.952785313129425
28,0.9777470827102661,0.0010000000474974513,0.08902370929718018,0.9795769453048706,0.9766562581062317,0.9521059989929199,0.2501392066478729,0.9545919895172119,0.94972825050354
29,0.9923641681671143,0.0005000000237487257,0.031356532126665115,0.9930853843688965,0.9922187328338623,0.9619565010070801,0.24406549334526062,0.9661769866943359,0.960597813129425
